area_sqft,bhk,location,price,price_unit,property_type,scraped_at,title,url
1245,3,Bangalore,2.28,Cr,Apartment,2026-02-19T16:42:35.102727,"3 BHK  1345 Sq-ft  Flat  For SaleHebbal, Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1345-Sq-ft-Multistorey-Apartment-FOR-Sale-Hebbal-in-Bangalore&id=4d423832323936363139
2200,3,Mumbai,15.95,Cr,Apartment,2026-02-19T16:42:35.342370,"3 BHK  3000 Sq-ft  Flat  For Sale inJuhu, Mumbai",https://www.magicbricks.com/propertyDetails/3-BHK-3000-Sq-ft-Multistorey-Apartment-FOR-Sale-Juhu-in-Mumbai&id=4d423832393531363433
1660,3,Greater Noida,1.68,Cr,Multistorey Apartment,2026-02-19T16:42:38.539280,3 BHK Flat For Sale inGreater Noida,https://www.magicbricks.com/propertyDetails/3-BHK-1660-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Greater-Noida&id=4d423831333830333837
1162,3,Bangalore,1.60,Cr,Apartment,2026-02-19T16:42:39.440718,"3 BHK  1660 Sq-ft  Flat  For SaleKadugodi, Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1660-Sq-ft-Multistorey-Apartment-FOR-Sale-Kadugodi-in-Bangalore&id=4d423833323734323237
1000,2,Mumbai,7.50,Cr,Apartment,2026-02-19T16:42:42.023509,"2 BHK  1200 Sq-ft  Flat  For Sale inJuhu, Mumbai",https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Sale-Juhu-in-Mumbai&id=4d423830353535343239
1658,3,Ghaziabad,1.55,Cr,Apartment,2026-02-19T16:42:44.315320,"3 BHK Builder Floor For Sale inBlock C Swaran Jayanti Puram, Ghaziabad",https://www.magicbricks.com/propertyDetails/3-BHK-1786-Sq-ft-Builder-Floor-Apartment-FOR-Sale-in-Ghaziabad&id=4d423833303136393239
1603,3,Bangalore,2.80,Cr,Apartment,2026-02-19T16:42:44.632440,"3 BHK Flat For Sale inPrestige Falcon CityKanakapura Road, Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1603-Sq-ft-Multistorey-Apartment-FOR-Sale-Kanakapura-Road-in-Bangalore&id=4d423739353038373531
698,2,Mumbai,2.20,Cr,Apartment,2026-02-19T16:42:46.604881,"2 BHK  698 Sq-ft  Flat  For SaleGoregaon West, Mumbai",https://www.magicbricks.com/propertyDetails/2-BHK-698-Sq-ft-Multistorey-Apartment-FOR-Sale-Goregaon-West-in-Mumbai&id=4d423830363636303431
1250,3,Ghaziabad,58.0,Lac,Apartment,2026-02-19T16:42:48.734965,"3 BHK Builder Floor For Sale inLal Kuan, Ghaziabad",https://www.magicbricks.com/propertyDetails/3-BHK-1250-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Lal-Kuan-in-Ghaziabad&id=4d423833303136393233
1160,2,Bangalore,1.16,Cr,Apartment,2026-02-19T16:42:49.184783,"2 BHK Flat For Sale inJeevans OctaveKadugodi, Bangalore",https://www.magicbricks.com/propertyDetails/2-BHK-1160-Sq-ft-Multistorey-Apartment-FOR-Sale-Kadugodi-in-Bangalore&id=4d423832353633353433
1068,3,Mumbai,3.78,Cr,Apartment,2026-02-19T16:42:51.246631,"3 BHK  1350 Sq-ft  Flat  For SaleChembur, Mumbai",https://www.magicbricks.com/propertyDetails/3-BHK-1350-Sq-ft-Multistorey-Apartment-FOR-Sale-Chembur-in-Mumbai&id=4d423738383635373131
800,2,Greater Noida,33.9,Lac,Apartment,2026-02-19T16:42:53.044230,"2 BHK Builder Floor For Sale in Casa View Apartment 3,Noida Extension, Greater Noida",https://www.magicbricks.com/propertyDetails/2-BHK-850-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Noida-Extension-in-Greater-Noida&id=4d423832383932323133
1927,3,Bangalore,5.20,Cr,Apartment,2026-02-19T16:42:55.950413,"3 BHK  2753 Sq-ft  Flat  For SaleWhitefield, Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-2753-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423737383336393837
1250,2,Mumbai,3.70,Cr,Apartment,2026-02-19T16:42:55.983205,"2 BHK Flat For Sale inHiranandani Castle RockPowai, Mumbai",https://www.magicbricks.com/propertyDetails/2-BHK-1250-Sq-ft-Multistorey-Apartment-FOR-Sale-Powai-in-Mumbai&id=4d423739363734373239
1950,3,Gurgaon,2.45,Cr,Apartment,2026-02-19T16:42:59.513483,"3 BHK Flat  For Sale in Shree Vardhman Victoria,Sector 70, Gurgaon",https://www.magicbricks.com/propertyDetails/3-BHK-1950-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-70-in-Gurgaon&id=4d423831383036363933
750,2,Mumbai,3.45,Cr,Apartment,2026-02-19T16:43:00.527788,"2 BHK  1200 Sq-ft  Flat  For SaleAndheri West, Mumbai",https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Sale-Andheri-West-in-Mumbai&id=4d423734373434333235
1819,3,Bangalore,3.20,Cr,Apartment,2026-02-19T16:43:01.293011,"3 BHK Flat For Sale inSobha HRC PristineJakkur, Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1819-Sq-ft-Multistorey-Apartment-FOR-Sale-Jakkur-in-Bangalore&id=4d423833343634343037
1300,3,New Delhi,1.50,Cr,Apartment,2026-02-19T16:43:02.615181,"1300 Sq-ft  3 BHK Flat  For Sale inSouth Extension, New Delhi",https://www.magicbricks.com/propertyDetails/3-BHK-1300-Sq-ft-Multistorey-Apartment-FOR-Sale-South-Extension-in-New-Delhi&id=4d423637393431373339
